Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-02-27,1202.1,1208.0,1177.0,1196.9,1194.89,5860.0,791.0,7002034.0,1986.0,33.89,31.0,-5.2
2017-02-23,1205.0,1206.9,1190.1,1199.25,1200.04,3922.0,789.0,4706549.0,1498.0,38.19,16.8,-5.75
2017-02-22,1217.15,1228.0,1200.0,1212.05,1214.66,29704.0,1053.0,36080332.0,26019.0,87.59,28.0,-5.1
2017-02-21,1219.1,1230.7,1212.95,1221.6,1222.4,4211.0,703.0,5147510.0,1516.0,36.0,17.75,2.5
2017-02-20,1235.0,1236.9,1224.45,1226.65,1228.65,2003.0,517.0,2460991.0,729.0,36.4,12.45,-8.35
2017-02-17,1230.0,1240.0,1219.8,1230.0,1231.77,6726.0,1143.0,8284911.0,1959.0,29.13,20.2,0.0
2017-02-16,1170.0,1238.9,1170.0,1228.85,1213.04,25513.0,3164.0,30948227.0,8988.0,35.23,68.9,58.85
2017-02-15,1195.0,1195.45,1170.0,1172.2,1178.59,4312.0,612.0,5082094.0,1091.0,25.3,25.45,-22.8
2017-02-14,1230.0,1230.0,1190.0,1194.25,1199.63,6336.0,914.0,7600868.0,2241.0,35.37,40.0,-35.75
2017-02-13,1261.0,1261.1,1210.0,1223.3,1229.46,7440.0,976.0,9147198.0,2159.0,29.02,51.1,-37.7
2017-02-10,1230.0,1269.75,1225.0,1261.85,1246.31,23906.0,3066.0,29794305.0,8900.0,37.23,44.75,31.85
2017-02-09,1210.0,1228.0,1185.55,1225.65,1211.48,34091.0,4404.0,41300522.0,6759.0,19.83,42.45,15.65
2017-02-08,1183.0,1213.0,1182.0,1208.35,1199.1,33925.0,3527.0,40679326.0,7955.0,23.45,31.0,25.35
2017-02-07,1121.0,1192.0,1121.0,1179.95,1171.27,43827.0,4217.0,51333284.0,11363.0,25.93,71.0,58.95
2017-02-06,1116.6,1144.2,1105.7,1132.65,1128.61,27029.0,3143.0,30505259.0,12563.0,46.48,38.5,16.05
2017-02-03,1113.75,1118.0,1106.0,1110.35,1110.49,2558.0,355.0,2840644.0,1266.0,49.49,12.0,-3.4
2017-02-02,1109.0,1127.95,1105.0,1109.95,1114.41,6582.0,1254.0,7335031.0,2105.0,31.98,22.95,0.95
2017-02-01,1096.2,1120.0,1091.75,1107.05,1106.25,4176.0,840.0,4619716.0,1133.0,27.13,28.25,10.85
2017-01-31,1114.9,1116.9,1091.0,1094.2,1101.21,10640.0,2312.0,11716883.0,1716.0,16.13,25.9,-20.7
2017-01-30,1110.0,1121.0,1076.0,1101.1,1107.34,6734.0,1237.0,7456823.0,2721.0,40.41,45.0,-8.9
2017-01-27,1112.9,1125.15,1105.0,1108.55,1114.07,3006.0,795.0,3348892.0,1000.0,33.27,20.15,-4.35
2017-01-25,1128.0,1128.0,1072.8,1109.65,1111.02,9769.0,1609.0,10853553.0,3644.0,37.3,55.2,-18.35
2017-01-24,1124.95,1129.85,1114.5,1116.0,1119.14,3071.0,735.0,3436870.0,1504.0,48.97,15.35,-8.95
2017-01-23,1135.0,1135.0,1113.0,1117.5,1120.73,2654.0,675.0,2974410.0,987.0,37.19,22.0,-17.5
2017-01-20,1150.0,1150.0,1123.4,1132.6,1134.38,3790.0,589.0,4299301.0,1489.0,39.29,26.6,-17.4
2017-01-19,1147.0,1160.0,1134.25,1153.4,1147.55,8638.0,1290.0,9912563.0,4356.0,50.43,25.75,6.4
2017-01-18,1110.0,1149.95,1101.4,1146.8,1138.32,14565.0,1766.0,16579602.0,5379.0,36.93,48.55,36.8
2017-01-17,1130.35,1131.7,1099.0,1103.1,1110.64,6234.0,972.0,6923712.0,3248.0,52.1,32.7,-27.25
2017-01-16,1125.0,1139.95,1118.05,1124.45,1127.58,6274.0,1147.0,7074418.0,1893.0,30.17,21.9,-0.55
2017-01-13,1130.0,1144.9,1111.35,1130.85,1127.33,8239.0,1233.0,9288059.0,2118.0,25.71,33.55,0.85
2017-01-12,1139.75,1150.0,1111.0,1122.1,1129.27,15266.0,2229.0,17239478.0,4009.0,26.26,39.0,-17.65
2017-01-11,1166.9,1169.95,1102.5,1132.15,1144.85,57060.0,5254.0,65325400.0,10078.0,17.66,67.45,-34.75
2017-01-10,1045.0,1199.0,1031.0,1176.0,1155.54,139600.0,12842.0,161313259.0,14868.0,10.65,168.0,131.0
